Epoch,Dataset,Recall,Precision,TopKAcc
35,Gossypium_raimondii_5e3,0.6710,0.8726,0.6573
35,Lactuca_sativa_5e3,0.7352,0.9183,0.7419
35,Medicago_truncatula_5e3,0.8431,0.9496,0.7985
35,Pisum_sativum_5e3,0.8033,0.9172,0.7364
35,Theobroma_cacao_5e3,0.8742,0.9425,0.8169
36,Brachypodium_distachyon_5e3,0.5819,0.9465,0.6515
36,Brassica_juncea_5e3,0.4846,0.8138,0.5604
36,Brassica_napus_5e3,0.5178,0.9200,0.5878
36,Cajanus_cajan_5e3,0.8406,0.9541,0.7799
36,Glycine_max_5e3,0.8493,0.9693,0.8276
36,Gossypium_raimondii_5e3,0.6488,0.8942,0.6567
36,Lactuca_sativa_5e3,0.7155,0.9497,0.7427
36,Medicago_truncatula_5e3,0.8294,0.9657,0.7998
36,Pisum_sativum_5e3,0.7861,0.9474,0.7365
36,Theobroma_cacao_5e3,0.8777,0.9529,0.8203
37,Brachypodium_distachyon_5e3,0.5767,0.9551,0.6521
37,Brassica_juncea_5e3,0.4553,0.8594,0.5640
37,Brassica_napus_5e3,0.5057,0.9287,0.5904
37,Cajanus_cajan_5e3,0.8392,0.9617,0.7817
37,Glycine_max_5e3,0.8491,0.9729,0.8291
37,Gossypium_raimondii_5e3,0.6621,0.8852,0.6615
37,Lactuca_sativa_5e3,0.7198,0.9550,0.7465
37,Medicago_truncatula_5e3,0.8302,0.9692,0.8019
37,Pisum_sativum_5e3,0.7820,0.9504,0.7381
37,Theobroma_cacao_5e3,0.8745,0.9473,0.8190
38,Brachypodium_distachyon_5e3,0.6072,0.9244,0.6554
38,Brassica_juncea_5e3,0.5040,0.7983,0.5705
38,Brassica_napus_5e3,0.5228,0.9100,0.5911
38,Cajanus_cajan_5e3,0.8550,0.9425,0.7812
38,Glycine_max_5e3,0.8593,0.9643,0.8313
38,Gossypium_raimondii_5e3,0.6666,0.8641,0.6580
38,Lactuca_sativa_5e3,0.7369,0.9388,0.7488
38,Medicago_truncatula_5e3,0.8453,0.9554,0.8032
38,Pisum_sativum_5e3,0.7994,0.9381,0.7402
38,Theobroma_cacao_5e3,0.8846,0.9493,0.8219
39,Brachypodium_distachyon_5e3,0.6211,0.9137,0.6570
39,Brassica_juncea_5e3,0.5236,0.7563,0.5693
39,Brassica_napus_5e3,0.5468,0.8821,0.5970
39,Cajanus_cajan_5e3,0.8517,0.9436,0.7818
39,Glycine_max_5e3,0.8634,0.9622,0.8322
39,Gossypium_raimondii_5e3,0.6574,0.8881,0.6663
39,Lactuca_sativa_5e3,0.7443,0.9315,0.7522
39,Medicago_truncatula_5e3,0.8481,0.9593,0.8063
39,Pisum_sativum_5e3,0.7973,0.9417,0.7403
39,Theobroma_cacao_5e3,0.8797,0.9416,0.8191
40,Brachypodium_distachyon_5e3,0.6114,0.9387,0.6598
40,Brassica_juncea_5e3,0.4806,0.8435,0.5690
40,Brassica_napus_5e3,0.5270,0.9215,0.5992
40,Cajanus_cajan_5e3,0.8547,0.9451,0.7828
40,Glycine_max_5e3,0.8610,0.9702,0.8328
40,Gossypium_raimondii_5e3,0.6602,0.9039,0.6677
40,Lactuca_sativa_5e3,0.7384,0.9489,0.7538
40,Medicago_truncatula_5e3,0.8413,0.9687,0.8066
40,Pisum_sativum_5e3,0.7835,0.9523,0.7393
40,Theobroma_cacao_5e3,0.8740,0.9569,0.8216
41,Brachypodium_distachyon_5e3,0.6250,0.9213,0.6639
41,Brassica_juncea_5e3,0.5226,0.8096,0.5783
41,Brassica_napus_5e3,0.5512,0.8964,0.6044
41,Cajanus_cajan_5e3,0.8607,0.9438,0.7846
41,Glycine_max_5e3,0.8699,0.9623,0.8338
41,Gossypium_raimondii_5e3,0.6579,0.8980,0.6658
41,Lactuca_sativa_5e3,0.7544,0.9358,0.7570
41,Medicago_truncatula_5e3,0.8562,0.9587,0.8097
41,Pisum_sativum_5e3,0.8090,0.9410,0.7447
41,Theobroma_cacao_5e3,0.8868,0.9530,0.8254
42,Brachypodium_distachyon_5e3,0.6012,0.9485,0.6642
42,Brassica_juncea_5e3,0.4847,0.8140,0.5687
42,Brassica_napus_5e3,0.5166,0.9365,0.5994
42,Cajanus_cajan_5e3,0.8361,0.9538,0.7824
42,Glycine_max_5e3,0.8493,0.9779,0.8318
42,Gossypium_raimondii_5e3,0.6320,0.9265,0.6651
42,Lactuca_sativa_5e3,0.7205,0.9595,0.7532
42,Medicago_truncatula_5e3,0.8323,0.9753,0.8061
42,Pisum_sativum_5e3,0.7790,0.9637,0.7425
42,Theobroma_cacao_5e3,0.8684,0.9611,0.8217
43,Brachypodium_distachyon_5e3,0.6087,0.9275,0.6627
43,Brassica_juncea_5e3,0.5004,0.8020,0.5723
43,Brassica_napus_5e3,0.5409,0.9091,0.6022
43,Cajanus_cajan_5e3,0.8501,0.9470,0.7814
43,Glycine_max_5e3,0.8603,0.9682,0.8334
43,Gossypium_raimondii_5e3,0.6574,0.8932,0.6604
43,Lactuca_sativa_5e3,0.7416,0.9410,0.7545
43,Medicago_truncatula_5e3,0.8472,0.9611,0.8075
43,Pisum_sativum_5e3,0.8056,0.9369,0.7437
43,Theobroma_cacao_5e3,0.8700,0.9564,0.8223
44,Brachypodium_distachyon_5e3,0.6609,0.8552,0.6664
44,Brassica_juncea_5e3,0.5727,0.6706,0.5698
44,Brassica_napus_5e3,0.5851,0.8296,0.6047
44,Cajanus_cajan_5e3,0.8729,0.9178,0.7852
44,Glycine_max_5e3,0.8794,0.9457,0.8351
44,Gossypium_raimondii_5e3,0.6996,0.8350,0.6697
44,Lactuca_sativa_5e3,0.7727,0.9002,0.7604
44,Medicago_truncatula_5e3,0.8698,0.9381,0.8116
44,Pisum_sativum_5e3,0.8149,0.9191,0.7421
44,Theobroma_cacao_5e3,0.8922,0.9343,0.8238
45,Brachypodium_distachyon_5e3,0.6130,0.9499,0.6687
45,Brassica_juncea_5e3,0.4946,0.8515,0.5742
45,Brassica_napus_5e3,0.5289,0.9299,0.6051
45,Cajanus_cajan_5e3,0.8487,0.9583,0.7871
45,Glycine_max_5e3,0.8582,0.9757,0.8357
45,Gossypium_raimondii_5e3,0.6490,0.9167,0.6735
45,Lactuca_sativa_5e3,0.7384,0.9550,0.7595
45,Medicago_truncatula_5e3,0.8473,0.9710,0.8117
45,Pisum_sativum_5e3,0.7980,0.9554,0.7450
45,Theobroma_cacao_5e3,0.8730,0.9584,0.8227
46,Brachypodium_distachyon_5e3,0.6130,0.9441,0.6717
46,Brassica_juncea_5e3,0.5106,0.8103,0.5795
46,Brassica_napus_5e3,0.5360,0.9267,0.6079
46,Cajanus_cajan_5e3,0.8468,0.9611,0.7882
